District_Name,Commune,historical_1980,rcp4p5_ESM1M,rcp4p5_GEM1M,rcp4p5_CM5A_LR,rcp4p5_MIROC_ESM,rcp8p5_ESM1M,rcp8p5_GEM1M,rcp8p5_CM5A_LR,rcp8p5_MIROC_ESM
Aceh,Aceh Barat,242.9016705,473.8298817,242.9016705,242.9016705,242.9016705,473.8298817,242.9016705,473.8298817,242.9016705
Aceh,Aceh Barat Daya,604.6189671,604.6189671,604.6189671,604.6189671,604.6189671,604.6189671,604.6189671,604.6189671,604.6189671
Aceh,Aceh Besar,910.5443115,966.1180134,910.5443115,910.5443115,947.7193565,966.1180134,947.7193565,947.7193565,947.7193565
Aceh,Aceh Jaya,168.3518085,474.5616665,168.3518085,168.3518085,168.3518085,474.5616665,168.3518085,474.5616665,168.3518085
Aceh,Aceh Selatan,897.0859947,897.0859947,897.0859947,897.0859947,897.0859947,897.0859947,897.0859947,897.0859947,897.0859947
Aceh,Aceh Singkil,135.5710297,135.5710297,135.5710297,192.881485,135.5710297,135.5710297,135.5710297,192.881485,135.5710297
Aceh,Aceh Tamiang,1105.764154,1105.764154,1105.764154,1105.764154,1105.764154,1105.764154,1105.764154,1126.405754,1105.764154
Aceh,Aceh Tengah,0,0,0,0,0,0,0,0,0
Aceh,Aceh Tenggara,1194.042522,1194.042522,1194.042522,1251.467155,1194.042522,1194.042522,1194.042522,1251.467155,1194.042522
Aceh,Aceh Timur,1792.987331,1792.987331,1792.987331,1792.987331,1792.987331,1792.987331,1792.987331,1820.166893,1792.987331
Aceh,Aceh Utara,842.0291424,1160.454849,880.3351765,1160.454849,842.0291424,1160.454849,1109.415268,1160.454849,842.0291424
Sumatera Barat,Agam,82.15003204,82.15003204,82.15003204,82.15003204,82.15003204,82.15003204,82.15003204,82.15003204,82.15003204
Nusa Tenggara Timur,Alor,155.0559006,155.0559006,0,155.0559006,155.0559006,155.0559006,0,155.0559006,155.0559006
Sumatera Utara,Asahan,813.2308712,813.2308712,813.2308712,1194.001804,813.2308712,1194.001804,813.2308712,1194.001804,813.2308712
Papua,Asmat,0,0,0,0,0,0,0,0,0
Bali,Badung,0,0,0,0,0,0,0,0,0
Kalimantan Selatan,Balangan,0,0,0,0,0,0,0,0,0
Jawa Barat,Bandung,2213.35537,2213.35537,2213.35537,2089.825207,0,2262.337837,2141.273621,2141.273621,0
Jawa Barat,Bandung Barat,6047.961906,6047.961906,6047.961906,6047.961906,0,6047.961906,6047.961906,6047.961906,0
Sulawesi Tengah,Banggai,0,0,0,0,0,0,0,0,0
Sulawesi Tengah,Banggai Kepulauan,0,0,0,0,0,0,0,0,0
Sulawesi Tengah,Banggai Laut,0,0,0,0,0,0,0,0,0
Kepulauan Bangka Belitung,Bangka,46.54475021,275.4541664,46.54475021,275.4541664,46.54475021,46.54475021,46.54475021,326.8016968,46.54475021
Kepulauan Bangka Belitung,Bangka Barat,0,0,0,0,0,0,0,0,0
Kepulauan Bangka Belitung,Bangka Selatan,99.72639656,469.7316036,99.72639656,512.2648144,99.72639656,99.72639656,99.72639656,512.2648144,99.72639656
Kepulauan Bangka Belitung,Bangka Tengah,0,381.965847,0,381.965847,0,0,0,381.965847,0
Jawa Timur,Bangkalan,716.2221069,716.2221069,613.1770248,856.1639252,716.2221069,716.2221069,613.1770248,1063.090897,716.2221069
Bali,Bangli,0,0,0,0,0,0,0,0,0
Kalimantan Selatan,Banjar,49.15048599,0,0,49.15048599,0,0,0,49.15048599,0
Jawa Tengah,Banjarnegara,0,0,0,0,0,0,0,0,0
Sulawesi Selatan,Bantaeng,1096.488396,1096.488396,1096.488396,1096.488396,1096.488396,1096.488396,1096.488396,1096.488396,1096.488396
Daerah Istimewa Yogyakarta,Bantul,558.1996422,558.1996422,558.1996422,853.0737305,558.1996422,853.0737305,558.1996422,853.0737305,558.1996422
Sumatera Selatan,Banyu Asin,226.7744904,204.715456,204.715456,256.0594845,226.7744904,177.8127785,177.8127785,376.8966236,226.7744904
Jawa Tengah,Banyumas,3139.31662,3139.31662,0,3139.31662,3139.31662,3139.31662,0,3139.31662,3139.31662
Jawa Timur,Banyuwangi,346.8144627,346.8144627,346.8144627,346.8144627,346.8144627,346.8144627,346.8144627,346.8144627,346.8144627
Kalimantan Selatan,Barito Kuala,922.8882599,922.8882599,922.8882599,922.8882599,922.8882599,922.8882599,922.8882599,992.3616562,922.8882599
Kalimantan Tengah,Barito Selatan,973.3421116,973.3421116,973.3421116,973.3421116,973.3421116,973.3421116,973.3421116,973.3421116,973.3421116
Kalimantan Tengah,Barito Timur,72.03126717,72.03126717,72.03126717,72.03126717,72.03126717,72.03126717,55.62598038,72.03126717,72.03126717
Kalimantan Tengah,Barito Utara,668.7641125,668.7641125,668.7641125,668.7641125,668.7641125,668.7641125,668.7641125,668.7641125,668.7641125
Sulawesi Selatan,Barru,749.133667,749.133667,749.133667,749.133667,749.133667,749.133667,749.133667,749.133667,749.133667
Jawa Tengah,Batang,2227.11063,2227.11063,0,2227.11063,2227.11063,2227.11063,0,2227.11063,2227.11063
Jambi,Batang Hari,745.2124939,745.2124939,745.2124939,745.2124939,745.2124939,745.2124939,745.2124939,802.3525162,745.2124939
Sumatera Utara,Batu Bara,1173.855406,1173.855406,1173.855406,1672.417575,1173.855406,1672.417575,1173.855406,1672.417575,1173.855406
Jawa Barat,Bekasi,7026.164036,4299.822538,4880.344721,3800.182249,2428.077442,4880.344721,4153.82733,5036.463972,1960.651947
Kepulauan Bangka Belitung,Belitung,75.07095146,75.07095146,75.07095146,75.07095146,75.07095146,75.07095146,75.07095146,75.07095146,75.07095146
Kepulauan Bangka Belitung,Belitung Timur,19.66109467,19.66109467,19.66109467,19.66109467,19.66109467,19.66109467,19.66109467,87.42512703,19.66109467
Nusa Tenggara Timur,Belu,0,0,0,0,0,0,0,0,0
Aceh,Bener Meriah,0,0,0,0,0,0,0,0,0
Riau,Bengkalis,124.3370171,0,124.3370171,278.1706123,124.3370171,124.3370171,124.3370171,278.1706123,124.3370171
Kalimantan Barat,Bengkayang,183.5136681,183.5136681,183.5136681,183.5136681,183.5136681,183.5136681,183.5136681,183.5136681,183.5136681
Bengkulu,Bengkulu Selatan,73.06129074,73.06129074,73.06129074,73.06129074,73.06129074,73.06129074,73.06129074,1123.501663,73.06129074
Bengkulu,Bengkulu Tengah,44.98757935,44.98757935,44.98757935,44.98757935,44.98757935,44.98757935,44.98757935,502.1162872,44.98757935
Bengkulu,Bengkulu Utara,206.7933807,206.7933807,206.7933807,206.7933807,206.7933807,206.7933807,206.7933807,307.0087967,206.7933807
Kalimantan Timur,Berau,982.434803,982.434803,982.434803,982.434803,982.434803,982.434803,982.434803,982.434803,982.434803
Papua,Biak Numfor,0,0,0,0,0,0,0,0,0
Nusa Tenggara Barat,Bima,56.62844086,56.62844086,0,56.62844086,56.62844086,56.62844086,56.62844086,56.62844086,56.62844086
Kepulauan Riau,Bintan,88.40768051,71.69076157,88.40768051,108.9548836,88.40768051,108.9548836,88.40768051,108.9548836,88.40768051
Aceh,Bireuen,0,3116.45574,0,3116.45574,0,3149.437365,3116.45574,3116.45574,0
Jawa Timur,Blitar,26.18426132,26.18426132,26.18426132,26.18426132,26.18426132,26.18426132,26.18426132,26.18426132,26.18426132
Jawa Tengah,Blora,448.0887661,448.0887661,428.0908756,448.0887661,448.0887661,448.0887661,428.0908756,562.2154293,448.0887661
Gorontalo,Boalemo,800.0911865,800.0911865,800.0911865,800.0911865,800.0911865,800.0911865,800.0911865,800.0911865,800.0911865
Jawa Barat,Bogor,366.71278,5762.316978,366.71278,5847.613388,0,5762.316978,366.71278,5920.965401,0
Jawa Timur,Bojonegoro,2647.897964,2744.924255,2563.126633,3051.866528,2744.924255,2896.326027,2563.126633,3191.572277,2744.924255
Sulawesi Utara,Bolaang Mongondow,296.2760239,296.2760239,296.2760239,296.2760239,296.2760239,296.2760239,296.2760239,296.2760239,296.2760239
Sulawesi Utara,Bolaang Mongondow Selatan,38.35774231,38.35774231,70.40978241,38.35774231,38.35774231,38.35774231,70.40978241,38.35774231,38.35774231
Sulawesi Utara,Bolaang Mongondow Timur,0,0,0,0,0,0,0,0,0
Sulawesi Utara,Bolaang Mongondow Utara,165.9619141,165.9619141,165.9619141,165.9619141,165.9619141,165.9619141,165.9619141,165.9619141,165.9619141
Sulawesi Tenggara,Bombana,399.6869102,399.6869102,399.6869102,399.6869102,399.6869102,399.6869102,83.59973907,399.6869102,399.6869102
Jawa Timur,Bondowoso,0,0,0,0,0,0,0,0,0
Sulawesi Selatan,Bone,1082.204689,1082.204689,1082.204689,1082.204689,1082.204689,1082.204689,1082.204689,1082.204689,1082.204689
Gorontalo,Bone Bolango,0,0,0,0,0,0,0,0,0
Papua,Boven Digoel,295.7329712,295.7329712,295.7329712,295.7329712,295.7329712,295.7329712,295.7329712,295.7329712,295.7329712
Jawa Tengah,Boyolali,0,0,0,0,0,0,0,0,0
Jawa Tengah,Brebes,7611.518034,7611.518034,771.674015,7611.518034,7611.518034,7611.518034,771.674015,7611.518034,7611.518034
Bali,Buleleng,305.7005157,305.7005157,305.7005157,305.7005157,305.7005157,305.7005157,305.7005157,305.7005157,305.7005157
Sulawesi Selatan,Bulukumba,1869.705849,1869.705849,1869.705849,1869.705849,1869.705849,1869.705849,1869.705849,1869.705849,1869.705849
Kalimantan Utara,Bulungan,420.5617828,420.5617828,420.5617828,420.5617828,0,420.5617828,420.5617828,420.5617828,420.5617828
Jambi,Bungo,167.5779972,167.5779972,167.5779972,266.4653244,167.5779972,199.121645,167.5779972,297.4895,167.5779972
Sulawesi Tengah,Buol,256.0718079,256.0718079,256.0718079,256.0718079,256.0718079,256.0718079,343.4080849,256.0718079,256.0718079
Maluku,Buru,21.57569885,21.57569885,21.57569885,21.57569885,21.57569885,21.57569885,21.57569885,21.57569885,21.57569885
Maluku,Buru Selatan,0,0,0,0,0,0,0,0,0
Sulawesi Tenggara,Buton,0,0,0,0,0,0,0,0,0
Sulawesi Tenggara,Buton Selatan,62.30361176,62.30361176,62.30361176,62.30361176,62.30361176,62.30361176,0,62.30361176,62.30361176
Sulawesi Tenggara,Buton Tengah,55.51626968,55.51626968,55.51626968,55.51626968,55.51626968,55.51626968,0,55.51626968,55.51626968
Sulawesi Tenggara,Buton Utara,104.8006287,104.8006287,104.8006287,104.8006287,104.8006287,104.8006287,104.8006287,104.8006287,104.8006287
Jawa Barat,Ciamis,1183.789436,1183.789436,0,1183.789436,1183.789436,1183.789436,0,1183.789436,1183.789436
Jawa Barat,Cianjur,11255.12987,11255.12987,8728.18084,11255.12987,2526.949032,11255.12987,8728.18084,11255.12987,2526.949032
